"","Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%","Year","EV","HardH%"
"778","Detroit Tigers",".304","93",".288",".151","2.7%","24.3%","7.9%","24.0%","40.8%","27.4%","0.69","30.6%","52.0%","17.4%","-3.7","-2.0%","-36.9","31%","76%","49%",2024,"88.5","38.1%"
"779","Houston Astros",".326","111",".299",".157","3.1%","19.3%","7.3%","24.0%","41.8%","27.1%","0.73","30.2%","51.9%","17.9%","-0.9","-1.3%","42.3","31%","79%","36%",2024,"88.4","39.1%"
"780","Kansas City Royals",".315","97",".283",".156","2.8%","19.4%","7.2%","22.9%","40.9%","27.4%","0.71","30.5%","52.1%","17.3%","0.3","0.8%","21.9","33%","81%","48%",2024,"88.8","40.5%"
"781","Los Angeles Angels",".301","90",".279",".140","2.8%","23.7%","8.1%","23.7%","42.4%","26.6%","0.74","30.4%","52.0%","17.6%","-12.4","-2.0%","-88.2","29%","73%","40%",2024,"87.9","36.6%"
"782","Los Angeles Dodgers",".343","122",".297",".189","3.7%","21.4%","9.6%","25.2%","38.5%","29.1%","0.63","30.3%","50.9%","18.8%","11.5","8.8%","128.3","33%","86%","49%",2024,"89.1","41.4%"
"783","Miami Marlins",".301","80",".299",".134","2.5%","23.3%","6.7%","22.1%","48.0%","23.1%","0.95","28.5%","52.6%","18.8%","-13.2","-2.0%","-135.1","29%","74%","38%",2024,"87.5","36.9%"
"784","Milwaukee Brewers",".325","100",".305",".155","2.9%","23.7%","9.7%","22.7%","44.2%","24.9%","0.82","28.8%","53.0%","18.3%","-0.6","-0.6%","38.8","32%","84%","43%",2024,"87.8","38.6%"
"785","Minnesota Twins",".321","103",".289",".165","3.0%","21.3%","7.7%","24.4%","38.9%","28.4%","0.64","31.6%","51.9%","16.6%","-0.9","-2.1%","16.3","32%","74%","42%",2024,"88.5","38.4%"
"786","New York Mets",".326","110",".291",".169","3.4%","22.4%","8.3%","24.4%","42.0%","25.9%","0.73","30.2%","52.2%","17.6%","4.3","3.6%","53.1","31%","83%","38%",2024,"88.9","41.4%"
"787","New York Yankees",".338","116",".283",".181","3.8%","21.2%","10.8%","23.5%","42.4%","26.7%","0.75","30.1%","51.4%","18.5%","4.1","3.7%","97.6","31%","77%","36%",2024,"89.6","42.5%"
"788","Oakland Athletics",".308","101",".284",".159","3.3%","24.9%","8.2%","22.6%","41.7%","27.5%","0.73","29.4%","52.7%","18.0%","-8.8","-2.5%","-60.1","27%","79%","39%",2024,"88.8","39.3%"
"789","Philadelphia Phillies",".333","110",".306",".168","3.2%","22.2%","8.4%","24.0%","42.5%","26.6%","0.75","30.4%","50.7%","18.9%","3.8","3.2%","62.7","32%","83%","41%",2024,"88.6","40.3%"
"790","Pittsburgh Pirates",".305","88",".291",".137","2.6%","24.8%","8.0%","23.8%","44.8%","24.0%","0.82","29.4%","52.3%","18.3%","-8.3","-3.7%","-75.9","30%","85%","45%",2024,"88.7","40.3%"
"791","San Diego Padres",".329","107",".295",".157","3.1%","17.7%","7.5%","24.9%","41.6%","25.5%","0.73","28.7%","53.5%","17.8%","6.2","4.1%","35.8","31%","81%","43%",2024,"88.4","38.9%"
"792","Seattle Mariners",".310","106",".284",".152","3.1%","26.8%","9.4%","23.0%","39.1%","28.7%","0.66","32.7%","50.9%","16.3%","-3.0","-3.2%","-2.3","28%","83%","40%",2024,"88.6","40.6%"
"793","San Francisco Giants",".311","103",".290",".157","2.9%","24.0%","8.1%","23.9%","40.2%","27.3%","0.68","31.0%","51.6%","17.4%","-3.0","-1.5%","-11.0","30%","76%","39%",2024,"88.8","39.9%"
"794","St. Louis Cardinals",".311","95",".294",".144","2.7%","21.6%","7.8%","25.2%","42.1%","24.5%","0.74","28.9%","52.8%","18.2%","-3.8","-2.4%","-67.3","29%","76%","44%",2024,"88.0","38.3%"
"795","Tampa Bay Rays",".301","92",".289",".136","2.5%","24.7%","8.2%","23.3%","42.1%","24.5%","0.74","30.3%","51.0%","18.7%","-9.3","-2.7%","-109.8","27%","77%","43%",2024,"87.5","36.7%"
"796","Texas Rangers",".306","96",".279",".142","2.9%","21.2%","8.1%","22.9%","42.1%","27.8%","0.73","29.6%","51.9%","18.5%","-5.4","-3.5%","-16.8","30%","80%","43%",2024,"88.3","39.0%"
"797","Toronto Blue Jays",".314","101",".283",".148","2.6%","20.4%","8.4%","24.6%","41.3%","25.4%","0.71","29.5%","51.6%","18.8%","-6.4","-1.8%","-34.5","29%","82%","37%",2024,"87.7","37.0%"
"798","Washington Nationals",".308","95",".288",".132","2.3%","20.4%","7.6%","22.7%","45.6%","23.3%","0.87","30.0%","51.4%","18.6%","-5.7","-1.3%","-61.6","30%","75%","45%",2024,"87.1","37.0%"
"799","League Average",".316","100",".291",".156","3.0%","22.6%","8.2%","23.7%","41.9%","26.4%","0.73","30.3%","51.7%","18.0%","-3","-0%","-10","30%","79%","42%",2024,"88.3","39.0%"
"800","",".316","100",".291",".156","3.0%","22.6%","8.2%","23.7%","41.9%","26.4%","0.73","30.3%","51.7%","18.0%","-86.9","-7.5%","-292.3","30%","79%","42%",2024,"88.3","39.0%"
