"","Tm","IP","G","GS","R","RA9","RA9opp","RA9def","RA9role","PPFp","RA9avg","RAA","WAA","gmLI","WAAadj","WAR","RAR","waaWL%","162WL%","Salary","Year","RA9extras"
"121","Anaheim Angels","1454.1","505","162","734","4.54","5.00","-0.04","0.00","96.1","4.84","37","3.9","1.16","-0.6","18.3","217",".508",".503","$44,668,167",2004,NA
"122","Arizona Diamondbacks","1436.0","633","162","899","5.63","4.88","-0.04","-0.01","106.1","5.21","-73","-5.4","1.17","-1.5","5.5","58",".491",".500","$31,410,750",2004,NA
"123","Atlanta Braves","1450.0","645","162","668","4.15","4.65","0.28","0.00","99.2","4.35","27","3.0","1.11","-1.0","14.5","160",".505",".502","$47,369,167",2004,NA
"124","Baltimore Orioles","1455.1","614","162","830","5.13","5.05","-0.18","-0.02","98.3","5.13","-13","-0.4","1.15","-1.0","13.8","167",".499",".502","$11,110,000",2004,NA
"125","Boston Red Sox","1451.1","599","162","768","4.76","5.09","-0.09","0.01","103.6","5.38","87","9.5","1.05","-0.7","23.9","267",".516",".505","$58,682,500",2004,NA
"126","Chicago Cubs","1465.1","622","162","665","4.08","4.73","-0.09","0.02","101.9","4.93","133","14.5","1.21","-1.4","25.7","267",".523",".506","$36,698,333",2004,NA
"127","Chicago White Sox","1432.1","561","162","831","5.22","5.04","0.10","0.02","100.7","4.99","-48","-3.9","1.04","-0.5","10.4","130",".493",".500","$22,192,000",2004,NA
"128","Cincinnati Reds","1443.2","659","162","907","5.65","4.72","0.05","-0.01","98.0","4.57","-180","-17.2","1.11","-1.5","-6.2","-48",".474",".494","$17,833,250",2004,NA
"129","Cleveland Indians","1466.2","641","162","857","5.26","5.02","-0.07","-0.01","93.9","4.76","-93","-7.6","1.25","-2.2","5.5","89",".488",".499","$15,600,500",2004,NA
"130","Colorado Rockies","1435.1","635","162","923","5.79","4.80","-0.16","0.00","113.5","5.62","-32","-1.0","1.14","-1.9","9.5","100",".498",".500","$7,368,500",2004,NA
"131","Detroit Tigers","1439.2","594","162","844","5.28","5.02","-0.13","0.00","96.4","4.96","-62","-5.0","1.19","-1.4","8.6","117",".492",".499","$10,270,500",2004,NA
"132","Florida Marlins","1439.0","566","162","700","4.38","4.66","0.09","0.01","95.4","4.38","-6","0.4","1.25","-1.1","11.7","126",".501",".501","$18,576,375",2004,NA
"133","Houston Astros","1443.0","655","162","698","4.35","4.65","0.20","-0.01","100.2","4.46","11","2.2","1.09","-0.3","14.3","143",".503",".502","$22,415,000",2004,NA
"134","Kansas City Royals","1420.1","571","162","905","5.73","5.17","-0.10","0.00","101.6","5.34","-73","-6.3","1.12","-1.2","7.2","103",".489",".499","$12,127,500",2004,NA
"135","Los Angeles Dodgers","1453.1","621","162","684","4.24","4.74","0.34","0.00","96.7","4.26","-2","0.8","1.11","-1.0","12.3","131",".501",".502","$46,807,500",2004,NA
"136","Milwaukee Brewers","1442.0","584","161","757","4.72","4.77","-0.11","-0.01","100.9","4.91","25","3.7","1.15","-1.1","15.0","157",".506",".502","$8,104,000",2004,NA
"137","Minnesota Twins","1476.0","597","162","715","4.36","5.05","0.00","0.00","101.7","5.14","115","12.5","1.34","0.1","28.0","298",".521",".507","$16,455,000",2004,NA
"138","Montreal Expos","1447.0","624","162","769","4.78","4.73","0.31","-0.02","104.9","4.62","-32","-2.3","1.11","-1.3","9.0","101",".496",".500","$16,190,500",2004,NA
"139","New York Mets","1449.0","636","162","731","4.54","4.73","-0.22","-0.01","99.7","4.93","57","6.8","1.16","-1.0","18.3","190",".511",".504","$38,943,041",2004,NA
"140","New York Yankees","1443.2","598","162","808","5.04","5.02","-0.50","0.00","97.4","5.37","41","4.9","1.19","0.4","20.3","220",".508",".504","$80,281,836",2004,NA
"141","Oakland Athletics","1471.1","576","162","742","4.54","5.07","-0.11","0.02","97.9","5.09","78","7.9","1.37","-1.1","22.0","261",".514",".503","$25,674,500",2004,NA
"142","Philadelphia Phillies","1462.2","638","162","781","4.81","4.64","0.10","-0.01","104.4","4.73","-17","-1.5","1.26","-0.8","10.4","117",".498",".500","$42,662,500",2004,NA
"143","Pittsburgh Pirates","1428.0","625","161","744","4.69","4.75","-0.13","0.00","99.6","4.86","22","3.0","1.16","-0.8","14.5","153",".505",".502","$15,474,500",2004,NA
"144","San Diego Padres","1441.0","599","162","705","4.40","4.66","-0.05","0.00","91.6","4.32","-19","-0.8","1.11","0.7","12.3","113",".499",".503","$12,176,000",2004,NA
"145","Seattle Mariners","1459.1","576","162","823","5.08","5.13","0.12","0.01","96.8","4.85","-49","-3.8","1.26","-1.3","10.1","132",".493",".499","$34,157,500",2004,NA
"146","San Francisco Giants","1457.0","683","162","770","4.76","4.71","-0.28","0.01","101.2","5.06","44","5.3","1.44","-1.0","16.9","178",".508",".502","$26,362,666",2004,NA
"147","St. Louis Cardinals","1453.2","631","162","659","4.08","4.62","0.20","0.02","98.6","4.38","43","4.6","1.16","-1.1","16.0","176",".507",".503","$36,900,000",2004,NA
"148","Tampa Bay Devil Rays","1417.0","562","161","842","5.35","5.14","0.01","-0.02","97.1","4.96","-73","-6.3","1.06","-1.2","7.3","103",".489",".500","$8,327,500",2004,NA
"149","Texas Rangers","1439.2","630","162","794","4.96","5.08","-0.20","-0.02","106.7","5.60","90","9.3","1.19","-0.2","24.2","268",".515",".505","$26,713,750",2004,NA
