"...1","Batting Against...2","Batting Against...3","Batting Against...4","Batting Against...5","Batting Against...6","Pitching Ratios...7","Pitching Ratios...8","Pitching Ratios...9","Batted Ball...10","Batted Ball...11","Batted Ball...12","Batted Ball...13","Win Probability...14","Win Probability...15","Win Probability...16","Year","Batted Ball...14","Batted Ball...15","Win Probability...17","Win Probability...18"
"Miami Marlins",".242",".314",".406",".720",".296","2.9%","23.7%","8.4%","87.7","37.1%","23.7%","44.7%",NA,NA,"0.8",2022,"24.2%","0.82","-0.1%","39.3"
"Milwaukee Brewers",".229",".302",".388",".691",".281","3.1%","25.3%","8.6%","87.2","36.5%","22.3%","43.7%",NA,NA,"4.4",2022,"26.2%","0.79","3.2%","41.0"
"Minnesota Twins",".242",".307",".400",".707",".286","3.1%","22.1%","7.8%","88.3","38.6%","24.2%","39.8%",NA,NA,"1.3",2022,"27.8%","0.67","-0.1%","10.3"
"New York Mets",".236",".299",".377",".675",".299","2.8%","26.3%","7.2%","87.7","38.1%","23.0%","43.4%",NA,NA,"12.9",2022,"25.2%","0.78","6.8%","95.1"
"New York Yankees",".219",".285",".355",".640",".269","2.6%","24.6%","7.5%","87.5","36.5%","22.9%","44.1%",NA,NA,"13.4",2022,"24.3%","0.80","8.2%","142.5"
"Oakland Athletics",".254",".323",".428",".750",".290","3.2%","19.7%","8.2%","88.4","39.4%","22.9%","41.3%",NA,NA,"-8.9",2022,"27.4%","0.71","-0.8%","-108.0"
"Philadelphia Phillies",".245",".310",".391",".701",".303","2.5%","23.7%","7.7%","87.4","35.6%","24.2%","44.1%",NA,NA,"2.1",2022,"24.7%","0.80","1.3%","21.3"
"Pittsburgh Pirates",".259",".337",".411",".748",".305","2.6%","20.0%","9.4%","88.3","39.9%","24.4%","43.9%",NA,NA,"-7.7",2022,"23.8%","0.79","-1.0%","-112.0"
"San Diego Padres",".232",".301",".377",".679",".283","2.9%","24.0%","7.7%","88.1","38.4%","23.4%","41.3%",NA,NA,"9.7",2022,"27.4%","0.71","5.2%","40.7"
"Seattle Mariners",".235",".298",".389",".688",".281","3.1%","23.2%","7.5%","87.9","37.8%","23.5%","39.5%",NA,NA,"7.9",2022,"28.3%","0.66","4.2%","58.2"
"San Francisco Giants",".253",".313",".390",".702",".312","2.2%","22.6%","7.3%","87.8","39.0%","23.3%","47.5%",NA,NA,"1.4",2022,"22.5%","0.93","-0.2%","8.1"
"St. Louis Cardinals",".247",".314",".382",".696",".288","2.4%","19.6%","8.1%","88.0","38.0%","23.6%","47.5%",NA,NA,"10.4",2022,"22.8%","0.91","5.0%","72.4"
"Tampa Bay Rays",".232",".289",".379",".669",".279","2.9%","23.3%","6.5%","87.4","36.2%","22.6%","42.4%",NA,NA,"9.8",2022,"25.6%","0.75","6.8%","69.4"
"Texas Rangers",".247",".325",".397",".722",".293","2.7%","21.3%","9.4%","88.2","38.4%","23.8%","45.2%",NA,NA,"-9.0",2022,"23.9%","0.84","-2.3%","-48.5"
"Toronto Blue Jays",".247",".308",".399",".707",".297","3.0%","23.0%","7.0%","88.6","39.6%","25.0%","41.4%",NA,NA,"3.8",2022,"25.5%","0.72","2.4%","12.1"
"Washington Nationals",".266",".339",".452",".791",".298","3.9%","19.6%","9.0%","88.7","41.1%","22.8%","41.4%",NA,NA,"-15.6",2022,"28.0%","0.72","-1.8%","-170.6"
"League Average",".243",".312",".395",".706",".290","2.9%","22.4%","8.2%","88.1","38.5%","23.7%","42.7%",NA,NA,"",2022,"25.7%","0.76","",""
"",".243",".312",".395",".706",".290","2.9%","22.4%","8.2%","88.1","38.5%","23.7%","42.7%",NA,NA,"",2022,"25.7%","0.76","",""
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2022,"FB%","GB/FB","cWPA","RE24"
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2023,"FB%","GB/FB","cWPA","RE24"
"Arizona Diamondbacks",".251",".320",".429",".749",".297","3.2%","22.2%","8.6%","89.3","41.5%","24.3%","41.5%",NA,NA,"0.0",2023,"26.8%","0.72","0.3%","4.1"
"Atlanta Braves",".245",".318",".398",".716",".303","3.1%","24.7%","8.7%","88.6","38.9%","25.0%","42.1%",NA,NA,"3.6",2023,"25.2%","0.74","3.6%","53.0"
"Baltimore Orioles",".242",".307",".395",".702",".294","2.9%","23.5%","7.8%","88.8","40.8%","24.6%","43.7%",NA,NA,"9.6",2023,"25.5%","0.79","6.1%","63.4"
"Boston Red Sox",".256",".325",".433",".758",".307","3.4%","23.1%","8.1%","88.6","40.1%","22.8%","43.6%",NA,NA,"0.0",2023,"25.6%","0.78","-0.8%","-15.9"
"Chicago Cubs",".244",".314",".399",".713",".292","2.9%","22.6%","8.4%","87.8","38.1%","24.6%","43.9%",NA,NA,"1.8",2023,"23.2%","0.80","-0.3%","31.0"
"Chicago White Sox",".249",".337",".424",".760",".300","3.4%","23.3%","10.4%","88.8","39.7%","24.6%","39.8%",NA,NA,"-6.0",2023,"27.7%","0.67","-1.2%","-89.2"
"Cincinnati Reds",".257",".337",".443",".780",".302","3.5%","21.9%","9.7%","88.6","39.3%","24.7%","38.4%",NA,NA,"2.9",2023,"28.0%","0.63","0.7%","-33.9"
"Cleveland Guardians",".246",".316",".400",".716",".291","2.8%","21.3%","8.7%","89.0","40.3%","24.8%","40.5%",NA,NA,"1.8",2023,"26.9%","0.69","0.8%","56.5"
"Colorado Rockies",".288",".361",".486",".847",".321","3.7%","17.9%","9.3%","89.0","41.3%","25.1%","40.9%",NA,NA,"-15.4",2023,"27.0%","0.70","-1.9%","-165.9"
"Detroit Tigers",".240",".305",".399",".703",".286","3.1%","22.6%","7.8%","88.8","39.9%","24.1%","42.3%",NA,NA,"7.1",2023,"25.9%","0.74","0.8%","14.9"
"Houston Astros",".241",".316",".408",".724",".291","3.3%","23.9%","8.8%","89.1","40.4%","23.6%","41.6%",NA,NA,"5.8",2023,"27.3%","0.72","7.8%","53.2"
"Kansas City Royals",".262",".336",".442",".778",".304","3.4%","20.7%","9.0%","88.7","39.5%","24.2%","41.2%",NA,NA,"-13.7",2023,"26.9%","0.71","-1.3%","-119.8"
"Los Angeles Angels",".252",".337",".422",".759",".303","3.3%","22.9%","10.1%","88.1","38.1%","23.9%","40.1%",NA,NA,"-5.0",2023,"28.0%","0.68","-1.0%","-75.0"
"Los Angeles Dodgers",".236",".301",".400",".701",".279","3.3%","23.1%","7.5%","88.1","37.9%","23.1%","42.0%",NA,NA,"7.5",2023,"26.7%","0.74","2.5%","75.0"
"Miami Marlins",".246",".317",".413",".730",".302","3.1%","24.5%","8.4%","88.3","38.7%","23.1%","44.3%",NA,NA,"10.4",2023,"25.3%","0.81","6.7%","66.6"
"Milwaukee Brewers",".226",".297",".385",".681",".269","3.3%","23.8%","8.2%","88.1","38.2%","23.3%","43.2%",NA,NA,"16.3",2023,"26.0%","0.77","8.8%","122.8"
"Minnesota Twins",".236",".299",".398",".697",".293","3.2%","25.9%","7.4%","88.3","38.8%","23.0%","41.1%",NA,NA,"10.7",2023,"27.9%","0.71","4.8%","116.0"
"New York Mets",".247",".330",".406",".735",".298","3.1%","22.9%","9.7%","88.8","40.2%","23.2%","41.7%",NA,NA,"0.8",2023,"26.8%","0.73","-1.2%","7.9"
"New York Yankees",".234",".308",".396",".703",".281","3.2%","23.7%","8.4%","88.2","38.8%","23.0%","43.4%",NA,NA,"8.5",2023,"26.2%","0.78","3.0%","62.6"
"Oakland Athletics",".266",".355",".453",".807",".308","3.3%","20.4%","10.9%","88.5","39.3%","24.5%","37.5%",NA,NA,"-15.4",2023,"28.8%","0.61","-2.7%","-203.7"
"Philadelphia Phillies",".240",".304",".397",".701",".291","3.1%","23.9%","7.7%","87.8","37.7%","23.7%","43.7%",NA,NA,"6.7",2023,"24.9%","0.79","3.7%","55.7"
"Pittsburgh Pirates",".251",".331",".413",".745",".301","2.9%","21.9%","9.6%","88.4","40.1%","24.6%","42.8%",NA,NA,"2.3",2023,"24.7%","0.76","0.7%","-25.1"
"San Diego Padres",".236",".314",".383",".697",".288","2.9%","23.8%","9.2%","87.5","37.0%","23.6%","44.4%",NA,NA,"7.2",2023,"24.7%","0.81","1.2%","111.2"
"Seattle Mariners",".237",".297",".392",".689",".288","3.1%","24.3%","7.0%","88.4","39.4%","23.5%","42.9%",NA,NA,"8.4",2023,"26.1%","0.76","2.3%","71.6"
"San Francisco Giants",".253",".311",".408",".719",".305","2.9%","22.5%","6.7%","88.7","40.0%","22.9%","48.7%",NA,NA,"3.5",2023,"22.4%","0.97","1.7%","33.6"
"St. Louis Cardinals",".276",".343",".447",".790",".321","2.9%","19.4%","8.5%","89.1","41.0%","24.3%","45.2%",NA,NA,"-5.7",2023,"24.5%","0.83","-1.7%","-68.2"
"Tampa Bay Rays",".231",".294",".386",".680",".285","3.0%","25.1%","7.3%","88.2","39.0%","23.7%","44.0%",NA,NA,"7.3",2023,"23.9%","0.80","4.1%","81.2"
"Texas Rangers",".245",".313",".406",".719",".289","3.3%","22.4%","8.2%","88.5","39.3%","22.9%","42.1%",NA,NA,"2.1",2023,"27.4%","0.74","2.4%","24.3"
"Toronto Blue Jays",".241",".309",".403",".711",".296","3.3%","25.1%","8.0%","88.4","39.9%","24.1%","41.0%",NA,NA,"12.9",2023,"26.9%","0.71","8.1%","91.7"
"Washington Nationals",".273",".346",".457",".803",".306","3.9%","19.5%","9.4%","88.9","41.3%","24.5%","40.7%",NA,NA,"-8.3",2023,"27.4%","0.70","-2.1%","-103.4"
"League Average",".248",".320",".414",".734",".297","3.2%","22.7%","8.6%","88.5","39.5%","23.9%","42.3%",NA,NA,"",2023,"26.2%","0.74","",""
"",".248",".320",".414",".734",".297","3.2%","22.7%","8.6%","88.5","39.5%","23.9%","42.3%",NA,NA,"",2023,"26.2%","0.74","",""
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2023,"FB%","GB/FB","cWPA","RE24"
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2024,"FB%","GB/FB","cWPA","RE24"
"Arizona Diamondbacks",".262",".324",".434",".758",".310","2.9%","21.2%","7.8%","88.9","40.5%","25.4%","42.5%",NA,NA,"-3.3",2024,"25.9%","0.75","-2.4%","-51.6"
"Atlanta Braves",".236",".301",".372",".672",".301","2.5%","26.0%","7.5%","87.3","36.9%","24.0%","45.1%",NA,NA,"13.2",2024,"24.9%","0.84","11.5%","133.2"
"Baltimore Orioles",".238",".303",".390",".693",".284","2.9%","22.7%","7.9%","88.2","38.2%","22.6%","42.0%",NA,NA,"2.5",2024,"26.4%","0.74","1.2%","-5.2"
"Boston Red Sox",".246",".310",".397",".707",".289","3.1%","22.0%","7.5%","88.0","38.0%","23.4%","43.3%",NA,NA,"1.6",2024,"25.2%","0.77","-1.8%","3.1"
"Chicago Cubs",".239",".305",".386",".692",".284","3.0%","22.4%","8.0%","88.0","38.6%","22.9%","41.0%",NA,NA,"2.7",2024,"27.6%","0.71","0.1%","45.0"
"Chicago White Sox",".255",".337",".423",".760",".302","3.2%","21.9%","10.3%","88.0","37.0%","23.9%","39.7%",NA,NA,"-14.2",2024,"27.9%","0.67","-0.7%","-114.5"
"Cincinnati Reds",".239",".311",".404",".715",".283","3.2%","22.6%","8.0%","87.8","37.6%","23.1%","37.9%",NA,NA,"6.0",2024,"28.9%","0.62","1.1%","50.7"
"Cleveland Guardians",".230",".301",".395",".696",".277","3.0%","23.8%","8.3%","88.9","39.8%","23.6%","41.1%",NA,NA,"12.0",2024,"26.9%","0.71","8.2%","89.9"
"Colorado Rockies",".285",".354",".468",".823",".319","3.5%","17.7%","8.9%","89.0","40.9%","25.6%","42.6%",NA,NA,"-13.3",2024,"25.7%","0.75","-2.3%","-173.2"
"Detroit Tigers",".233",".292",".372",".664",".279","2.7%","22.7%","7.0%","88.4","38.0%","23.7%","43.5%",NA,NA,"8.7",2024,"25.2%","0.78","3.9%","79.5"
"Houston Astros",".231",".307",".381",".687",".282","3.0%","24.6%","9.0%","88.2","37.7%","24.0%","41.8%",NA,NA,"8.4",2024,"26.4%","0.73","4.6%","50.1"
"Kansas City Royals",".241",".308",".383",".691",".293","2.4%","22.3%","7.9%","88.0","38.3%","23.8%","43.1%",NA,NA,"4.4",2024,"25.3%","0.77","1.9%","71.9"
"Los Angeles Angels",".246",".328",".415",".743",".282","3.3%","20.4%","9.8%","88.9","40.0%","23.3%","41.7%",NA,NA,"-5.6",2024,"27.6%","0.73","-1.2%","-85.3"
"Los Angeles Dodgers",".235",".304",".399",".703",".277","3.3%","23.0%","8.3%","88.3","39.3%","23.7%","40.3%",NA,NA,"5.5",2024,"27.6%","0.69","4.3%","34.2"
"Miami Marlins",".257",".332",".428",".760",".302","3.1%","21.0%","8.9%","88.8","41.1%","23.1%","42.6%",NA,NA,"-5.8",2024,"26.8%","0.75","-1.1%","-75.7"
"Milwaukee Brewers",".237",".306",".388",".693",".279","3.2%","22.6%","8.1%","88.2","39.8%","23.8%","40.2%",NA,NA,"12.6",2024,"27.1%","0.69","8.0%","102.6"
"Minnesota Twins",".242",".303",".400",".702",".295","3.1%","24.7%","7.1%","87.9","37.6%","23.4%","39.9%",NA,NA,"1.9",2024,"27.7%","0.67","1.5%","-7.7"
"New York Mets",".230",".315",".373",".687",".283","2.7%","23.9%","9.6%","87.7","38.3%","22.6%","43.6%",NA,NA,"3.7",2024,"25.6%","0.79","1.8%","21.7"
"New York Yankees",".233",".309",".391",".700",".283","3.0%","23.8%","8.7%","88.9","40.0%","23.1%","41.5%",NA,NA,"8.9",2024,"27.2%","0.72","6.3%","58.6"
"Oakland Athletics",".253",".327",".410",".737",".297","2.7%","20.5%","8.6%","88.2","38.8%","23.6%","40.0%",NA,NA,"-3.2",2024,"27.0%","0.68","-0.7%","-67.6"
"Philadelphia Phillies",".243",".305",".397",".702",".295","3.0%","23.7%","7.3%","87.9","38.2%","24.2%","45.5%",NA,NA,"10.3",2024,"23.3%","0.85","8.1%","59.9"
"Pittsburgh Pirates",".250",".321",".402",".723",".300","2.7%","22.0%","8.4%","88.6","39.5%","24.4%","41.3%",NA,NA,"3.3",2024,"26.3%","0.72","1.8%","0.0"
"San Diego Padres",".238",".304",".385",".689",".293","2.8%","24.1%","7.7%","87.8","37.5%","24.1%","40.8%",NA,NA,"5.8",2024,"26.1%","0.70","3.4%","60.9"
"Seattle Mariners",".220",".276",".374",".649",".263","3.2%","24.4%","6.4%","88.2","38.2%","22.6%","40.5%",NA,NA,"7.0",2024,"28.2%","0.69","3.1%","69.3"
"San Francisco Giants",".246",".319",".389",".708",".305","2.5%","23.6%","8.6%","88.5","40.5%","21.9%","47.9%",NA,NA,"2.0",2024,"24.1%","0.94","-0.2%","4.2"
"St. Louis Cardinals",".249",".309",".405",".714",".294","2.9%","21.6%","7.5%","88.2","38.8%","24.3%","44.3%",NA,NA,"5.8",2024,"24.0%","0.81","1.2%","20.5"
"Tampa Bay Rays",".236",".299",".390",".689",".280","3.3%","23.4%","7.4%","88.6","38.8%","23.6%","38.9%",NA,NA,"8.3",2024,"28.2%","0.64","0.9%","50.5"
"Texas Rangers",".243",".316",".403",".719",".287","3.2%","22.5%","8.7%","88.6","40.1%","23.8%","41.0%",NA,NA,"2.3",2024,"27.7%","0.71","1.0%","-40.3"
"Toronto Blue Jays",".243",".314",".411",".724",".282","3.4%","21.7%","8.3%","88.9","40.8%","23.7%","40.4%",NA,NA,"-0.2",2024,"27.8%","0.69","-0.1%","-42.3"
"Washington Nationals",".258",".319",".406",".725",".308","2.8%","21.5%","7.7%","88.7","40.6%","26.0%","42.1%",NA,NA,"-4.3",2024,"24.7%","0.74","-1.3%","-50.3"
"League Average",".243",".312",".399",".711",".291","3.0%","22.6%","8.2%","88.3","39.0%","23.7%","41.9%",NA,NA,"",2024,"26.4%","0.73","",""
"",".243",".312",".399",".711",".291","3.0%","22.6%","8.2%","88.3","39.0%","23.7%","41.9%",NA,NA,"",2024,"26.4%","0.73","",""
"Tm","BA","OBP","SLG","OPS","BAbip","HR%","SO%","BB%","EV","HardH%","LD%","GB%",NA,NA,"WPA",2024,"FB%","GB/FB","cWPA","RE24"
