"...1","Batting...2","Batting...3","Batting...4","Batting...5","Batting Ratios...6","Batting Ratios...7","Batting Ratios...8","Batted Ball...9","Batted Ball...10","Batted Ball...11","Batted Ball...12","Batted Ball...13","Batted Ball...14","Batted Ball...15","Win Probability...16","Win Probability...17","Win Probability...18","Baserunning...19","Baserunning...20","Baserunning...21","Year","Batted Ball...16","Batted Ball...17","Win Probability...19","Win Probability...20","Baserunning...22","Baserunning...23"
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%",2000,NA,NA,NA,NA,NA,NA
"Anaheim Angels",".362","102",".303",".193","3.7%","16.1%","9.5%","26.2%","37.5%","30.1%","0.62","31.3%","47.6%","21.1%","0.6","0.2%","0.0","31%","64%","46%",2000,NA,NA,NA,NA,NA,NA
"Arizona Diamondbacks",".341","85",".290",".164","2.9%","15.6%","8.6%","24.8%","38.7%","28.9%","0.65","29.9%","51.0%","19.1%","-3.1","-2.2%","-26.9","32%","69%","49%",2000,NA,NA,NA,NA,NA,NA
"Atlanta Braves",".355","97",".302",".157","2.9%","16.1%","9.5%","25.4%","41.6%","25.9%","0.74","29.1%","50.7%","20.2%","1.5","2.8%","10.7","31%","73%","45%",2000,NA,NA,NA,NA,NA,NA
"Baltimore Orioles",".348","100",".293",".163","3.0%","14.4%","9.0%","25.9%","39.2%","28.7%","0.66","28.8%","51.6%","19.6%","-4.5","0.6%","-39.1","31%","66%","45%",2000,NA,NA,NA,NA,NA,NA
"Boston Red Sox",".343","88",".297",".156","2.6%","16.0%","9.6%","25.5%","38.3%","30.1%","0.63","29.9%","50.3%","19.8%","-11.4","-10.5%","-79.4","31%","59%","38%",2000,NA,NA,NA,NA,NA,NA
"Chicago Cubs",".337","89",".288",".155","2.9%","17.5%","9.9%","23.7%","41.8%","26.9%","0.76","28.7%","51.0%","20.2%","-8.4","-1.1%","-56.0","30%","72%","40%",2000,NA,NA,NA,NA,NA,NA
"Chicago White Sox",".369","106",".309",".184","3.4%","15.0%","9.2%","24.6%","38.7%","28.8%","0.66","30.3%","49.4%","20.3%","5.5","3.2%","117.4","37%","74%","46%",2000,NA,NA,NA,NA,NA,NA
"Cincinnati Reds",".351","93",".299",".173","3.1%","15.6%","8.8%","25.6%","39.6%","28.6%","0.67","28.6%","51.2%","20.2%","-3.5","-4.9%","2.4","31%","72%","38%",2000,NA,NA,NA,NA,NA,NA
"Cleveland Indians",".377","112",".318",".182","3.4%","16.2%","10.5%","25.7%","40.1%","27.4%","0.69","29.1%","49.6%","21.3%","5.6","5.8%","96.9","33%","77%","41%",2000,NA,NA,NA,NA,NA,NA
"Colorado Rockies",".369","88",".322",".161","2.5%","14.1%","9.3%","28.4%","39.0%","25.5%","0.67","26.7%","51.5%","21.8%","2.1","1.2%","79.5","37%","68%","51%",2000,NA,NA,NA,NA,NA,NA
"Detroit Tigers",".350","102",".303",".163","2.8%","15.5%","8.9%","27.1%","37.6%","28.3%","0.62","29.4%","51.3%","19.3%","-4.3","-2.7%","-10.9","32%","69%","43%",2000,NA,NA,NA,NA,NA,NA
"Florida Marlins",".338","91",".304",".147","2.6%","19.1%","8.7%","24.4%","41.5%","27.0%","0.73","27.9%","51.0%","21.1%","-3.4","-1.0%","-53.9","30%","75%","43%",2000,NA,NA,NA,NA,NA,NA
"Houston Astros",".371","102",".305",".199","3.9%","17.5%","10.4%","26.0%","37.8%","29.4%","0.63","30.4%","49.5%","20.1%","2.2","-0.7%","100.3","33%","69%","41%",2000,NA,NA,NA,NA,NA,NA
"Kansas City Royals",".354","94",".312",".138","2.4%","13.1%","8.0%","26.7%","42.0%","25.1%","0.75","26.4%","52.4%","21.2%","3.5","1.9%","11.5","35%","78%","41%",2000,NA,NA,NA,NA,NA,NA
"Los Angeles Dodgers",".349","100",".283",".174","3.3%","17.2%","10.6%","23.9%","39.7%","29.2%","0.68","29.0%","51.1%","19.9%","2.1","1.5%","10.1","30%","69%","41%",2000,NA,NA,NA,NA,NA,NA
"Milwaukee Brewers",".330","84",".284",".158","2.8%","19.6%","9.8%","24.3%","41.2%","27.6%","0.72","28.0%","50.5%","21.5%","-9.3","-1.9%","-73.4","30%","62%","43%",2000,NA,NA,NA,NA,NA,NA
"Minnesota Twins",".339","84",".309",".137","1.9%","16.3%","8.9%","27.3%","44.1%","23.6%","0.80","24.9%","53.0%","22.1%","-10.5","-1.7%","-128.1","31%","67%","44%",2000,NA,NA,NA,NA,NA,NA
"Montreal Expos",".336","83",".299",".165","2.9%","17.0%","7.7%","24.2%","43.3%","25.2%","0.80","27.8%","52.4%","19.7%","-7.5","-0.2%","-77.0","31%","55%","46%",2000,NA,NA,NA,NA,NA,NA
"New York Mets",".350","99",".290",".167","3.1%","16.4%","10.7%","22.9%","40.4%","29.3%","0.70","28.9%","51.3%","19.8%","0.9","1.6%","17.5","30%","59%","42%",2000,NA,NA,NA,NA,NA,NA
"New York Yankees",".359","103",".304",".173","3.3%","16.0%","10.0%","25.7%","41.0%","28.6%","0.70","29.1%","51.4%","19.5%","3.1","5.9%","35.2","32%","67%","38%",2000,NA,NA,NA,NA,NA,NA
"Oakland Athletics",".367","111",".300",".188","3.7%","18.0%","11.7%","25.3%","38.4%","30.5%","0.63","29.4%","50.0%","20.6%","8.3","9.7%","118.0","33%","73%","41%",2000,NA,NA,NA,NA,NA,NA
"Philadelphia Phillies",".332","81",".290",".148","2.3%","17.8%","9.7%","25.0%","38.9%","28.3%","0.66","27.1%","51.2%","21.6%","-12.6","-2.2%","-100.2","30%","77%","39%",2000,NA,NA,NA,NA,NA,NA
"Pittsburgh Pirates",".344","92",".299",".157","2.6%","16.2%","8.9%","24.7%","39.9%","27.9%","0.68","28.6%","51.8%","19.6%","-4.4","-1.9%","-25.4","32%","68%","40%",2000,NA,NA,NA,NA,NA,NA
"San Diego Padres",".331","90",".294",".148","2.5%","18.7%","9.6%","25.4%","41.1%","27.1%","0.71","27.0%","52.1%","20.9%","-3.5","-1.0%","-37.6","31%","71%","43%",2000,NA,NA,NA,NA,NA,NA
"Seattle Mariners",".362","111",".299",".172","3.1%","16.7%","12.0%","25.9%","38.6%","29.1%","0.65","27.6%","50.7%","21.7%","0.9","1.7%","83.8","33%","69%","41%",2000,NA,NA,NA,NA,NA,NA
"San Francisco Giants",".369","116",".303",".194","3.5%","16.1%","11.1%","25.9%","36.7%","30.4%","0.60","31.4%","49.0%","19.6%","11.9","6.2%","147.6","33%","67%","40%",2000,NA,NA,NA,NA,NA,NA
"St. Louis Cardinals",".365","105",".308",".185","3.7%","19.7%","10.6%","25.7%","38.3%","28.6%","0.65","30.3%","48.6%","21.1%","7.5","2.6%","83.7","32%","63%","44%",2000,NA,NA,NA,NA,NA,NA
"Tampa Bay Devil Rays",".331","85",".287",".142","2.6%","16.5%","9.0%","24.3%","40.0%","28.0%","0.69","31.7%","51.0%","17.3%","-10.3","-0.8%","-111.5","30%","66%","40%",2000,NA,NA,NA,NA,NA,NA
"Texas Rangers",".358","101",".310",".163","2.7%","14.5%","9.1%","26.5%","39.3%","28.3%","0.66","27.8%","51.5%","20.7%","-0.7","1.0%","-10.1","32%","59%","44%",2000,NA,NA,NA,NA,NA,NA
"Toronto Blue Jays",".361","100",".297",".194","3.9%","16.2%","8.3%","26.1%","39.3%","28.1%","0.66","31.8%","50.3%","18.0%","-0.6","-1.0%","0.0","32%","72%","37%",2000,NA,NA,NA,NA,NA,NA
"League Average",".352","97",".300",".167","3.0%","16.5%","9.6%","25.5%","39.8%","28.0%","0.68","28.9%","50.8%","20.3%","-1","0%","3","32%","69%","42%",2000,NA,NA,NA,NA,NA,NA
"",".352","97",".300",".167","3.0%","16.5%","9.6%","25.5%","39.8%","28.0%","0.68","28.9%","50.8%","20.3%","-42.2","11.8%","85.2","32%","69%","42%",2000,NA,NA,NA,NA,NA,NA
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%",2000,NA,NA,NA,NA,NA,NA
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%",2001,NA,NA,NA,NA,NA,NA
"Anaheim Angels",".330","91",".290",".144","2.5%","16.1%","7.9%","25.5%","37.7%","29.5%","0.62","29.4%","50.5%","20.1%","-10.0","-4.0%","-93.3","28%","69%","44%",2001,NA,NA,NA,NA,NA,NA
"Arizona Diamondbacks",".343","91",".294",".175","3.3%","16.6%","9.3%","24.6%","38.9%","28.6%","0.66","28.5%","51.8%","19.7%","-2.9","-1.3%","28.4","31%","65%","42%",2001,NA,NA,NA,NA,NA,NA
"Atlanta Braves",".328","85",".290",".152","2.8%","16.9%","8.0%","22.6%","44.2%","26.2%","0.82","26.3%","52.5%","21.2%","-5.9","-6.3%","-38.8","30%","65%","45%",2001,NA,NA,NA,NA,NA,NA
"Baltimore Orioles",".317","88",".278",".131","2.2%","16.1%","8.4%","24.7%","39.2%","28.0%","0.67","30.3%","49.8%","19.9%","-10.0","-2.0%","-85.3","30%","72%","47%",2001,NA,NA,NA,NA,NA,NA
"Boston Red Sox",".341","100",".300",".173","3.2%","18.1%","8.3%","25.2%","40.2%","27.7%","0.69","28.4%","51.6%","20.0%","-2.3","-1.5%","-19.2","30%","57%","34%",2001,NA,NA,NA,NA,NA,NA
"Chicago Cubs",".340","102",".290",".169","3.1%","17.3%","9.3%","23.3%","42.7%","25.8%","0.79","26.8%","52.8%","20.4%","2.8","2.0%","38.7","31%","65%","39%",2001,NA,NA,NA,NA,NA,NA
"Chicago White Sox",".347","101",".290",".183","3.5%","16.2%","8.5%","23.1%","39.3%","29.4%","0.68","29.5%","49.9%","20.5%","2.0","-0.6%","2.5","32%","68%","42%",2001,NA,NA,NA,NA,NA,NA
"Cincinnati Reds",".333","86",".301",".157","2.8%","18.8%","7.5%","24.9%","41.4%","25.8%","0.73","27.8%","51.8%","20.4%","-7.1","-1.7%","-52.8","30%","66%","42%",2001,NA,NA,NA,NA,NA,NA
"Cleveland Indians",".355","111",".308",".179","3.3%","16.9%","9.1%","25.2%","38.2%","28.3%","0.65","31.8%","49.0%","19.2%","8.6","8.9%","108.9","34%","66%","41%",2001,NA,NA,NA,NA,NA,NA
"Colorado Rockies",".368","97",".322",".191","3.3%","16.1%","8.0%","26.7%","38.6%","26.2%","0.67","26.9%","53.2%","19.9%","4.4","2.3%","95.3","35%","71%","49%",2001,NA,NA,NA,NA,NA,NA
"Detroit Tigers",".329","100",".291",".150","2.3%","15.8%","7.6%","24.6%","40.8%","26.9%","0.71","29.5%","52.3%","18.2%","-3.9","-0.2%","-43.1","32%","69%","39%",2001,NA,NA,NA,NA,NA,NA
"Florida Marlins",".333","95",".303",".159","2.7%","18.5%","7.6%","25.1%","38.8%","28.3%","0.66","29.5%","50.1%","20.4%","-2.4","-0.3%","-2.4","31%","69%","37%",2001,NA,NA,NA,NA,NA,NA
"Houston Astros",".352","100",".304",".180","3.3%","17.7%","9.2%","26.3%","39.1%","27.2%","0.66","29.5%","51.3%","19.2%","6.1","4.3%","65.0","32%","57%","41%",2001,NA,NA,NA,NA,NA,NA
"Kansas City Royals",".328","85",".291",".143","2.5%","14.5%","6.6%","24.0%","43.2%","26.5%","0.78","27.0%","51.3%","21.8%","-10.7","-1.3%","-85.9","32%","70%","40%",2001,NA,NA,NA,NA,NA,NA
"Los Angeles Dodgers",".332","99",".279",".170","3.3%","17.2%","8.4%","23.4%","40.6%","28.3%","0.71","28.7%","52.2%","19.1%","3.2","1.9%","26.4","31%","68%","41%",2001,NA,NA,NA,NA,NA,NA
"Milwaukee Brewers",".328","91",".299",".175","3.4%","22.8%","7.9%","25.9%","38.8%","27.7%","0.66","28.6%","50.9%","20.5%","-6.0","-2.5%","-9.1","30%","65%","38%",2001,NA,NA,NA,NA,NA,NA
"Minnesota Twins",".342","100",".310",".161","2.7%","17.5%","8.0%","25.1%","43.6%","25.7%","0.79","28.0%","51.9%","20.2%","3.1","0.8%","-15.1","32%","69%","48%",2001,NA,NA,NA,NA,NA,NA
"Montreal Expos",".318","79",".291",".143","2.2%","17.8%","7.9%","24.2%","43.7%","25.0%","0.81","27.2%","53.1%","19.7%","-9.0","-2.9%","-88.9","30%","66%","39%",2001,NA,NA,NA,NA,NA,NA
"New York Mets",".319","88",".283",".137","2.4%","17.3%","8.9%","22.4%","42.1%","28.1%","0.76","28.3%","51.4%","20.3%","-5.2","-2.5%","-99.2","27%","58%","41%",2001,NA,NA,NA,NA,NA,NA
"New York Yankees",".346","101",".293",".168","3.3%","16.6%","8.3%","24.0%","41.6%","28.5%","0.73","29.2%","50.4%","20.4%","1.2","2.2%","22.0","32%","75%","43%",2001,NA,NA,NA,NA,NA,NA
"Oakland Athletics",".347","107",".288",".175","3.1%","16.0%","10.0%","24.1%","39.3%","29.0%","0.66","29.2%","51.0%","19.7%","8.5","4.2%","106.4","34%","70%","40%",2001,NA,NA,NA,NA,NA,NA
"Philadelphia Phillies",".333","93",".297",".154","2.6%","18.1%","8.9%","24.4%","39.3%","28.2%","0.68","27.3%","50.6%","22.1%","2.1","-0.2%","6.4","31%","77%","39%",2001,NA,NA,NA,NA,NA,NA
"Pittsburgh Pirates",".316","78",".281",".146","2.7%","18.4%","7.8%","22.4%","42.2%","27.4%","0.76","28.1%","51.9%","20.0%","-8.1","-1.3%","-110.2","29%","56%","47%",2001,NA,NA,NA,NA,NA,NA
"San Diego Padres",".334","101",".297",".147","2.6%","20.3%","10.8%","26.1%","38.5%","29.6%","0.64","25.1%","51.4%","23.5%","5.8","1.5%","58.8","32%","75%","43%",2001,NA,NA,NA,NA,NA,NA
"Seattle Mariners",".362","120",".320",".157","2.6%","15.3%","9.5%","26.2%","39.7%","27.2%","0.68","26.7%","51.1%","22.2%","17.0","4.3%","167.1","35%","81%","44%",2001,NA,NA,NA,NA,NA,NA
"San Francisco Giants",".350","112",".290",".194","3.7%","17.0%","9.8%","24.2%","37.2%","30.3%","0.62","31.5%","51.3%","17.3%","3.8","3.3%","55.5","29%","58%","37%",2001,NA,NA,NA,NA,NA,NA
"St. Louis Cardinals",".345","99",".302",".172","3.2%","17.6%","8.6%","24.5%","40.6%","27.0%","0.72","27.0%","52.8%","20.2%","3.2","3.0%","61.5","33%","72%","48%",2001,NA,NA,NA,NA,NA,NA
"Tampa Bay Devil Rays",".321","89",".303",".130","2.0%","18.3%","7.5%","24.9%","43.2%","24.9%","0.79","30.3%","50.0%","19.7%","-8.7","-1.1%","-102.6","30%","69%","41%",2001,NA,NA,NA,NA,NA,NA
"Texas Rangers",".361","110",".300",".195","3.9%","17.1%","8.6%","25.0%","38.2%","30.8%","0.63","30.3%","50.5%","19.2%","4.2","0.4%","90.1","33%","75%","42%",2001,NA,NA,NA,NA,NA,NA
"Toronto Blue Jays",".337","94",".293",".167","3.1%","17.4%","7.5%","24.8%","40.2%","28.1%","0.69","30.7%","49.6%","19.7%","-6.3","-3.1%","-34.7","31%","74%","35%",2001,NA,NA,NA,NA,NA,NA
"League Average",".338","97",".296",".163","2.9%","17.3%","8.5%","24.6%","40.4%","27.7%","0.70","28.6%","51.3%","20.1%","-1","0%","2","31%","69%","42%",2001,NA,NA,NA,NA,NA,NA
"",".338","97",".296",".163","2.9%","17.3%","8.5%","24.6%","40.4%","27.7%","0.70","28.6%","51.3%","20.1%","-22.5","6.3%","52.4","31%","69%","42%",2001,NA,NA,NA,NA,NA,NA
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%",2001,NA,NA,NA,NA,NA,NA
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%",2002,NA,NA,NA,NA,NA,NA
"Anaheim Angels",".346","106",".303",".150","2.4%","12.7%","7.3%","28.5%","34.5%","29.5%","0.54","30.4%","49.9%","19.7%","5.3","4.4%","75.1","34%","70%","39%",2002,NA,NA,NA,NA,NA,NA
"Arizona Diamondbacks",".348","93",".298",".156","2.6%","16.1%","10.2%","27.8%","40.0%","24.5%","0.70","27.2%","53.2%","19.6%","5.5","3.9%","79.9","32%","67%","42%",2002,NA,NA,NA,NA,NA,NA
"Atlanta Braves",".335","91",".290",".150","2.6%","16.5%","9.0%","23.3%","42.8%","26.2%","0.79","27.7%","52.9%","19.3%","0.7","0.4%","-15.9","29%","66%","40%",2002,NA,NA,NA,NA,NA,NA
"Baltimore Orioles",".317","91",".271",".157","2.7%","16.3%","7.4%","25.6%","36.8%","28.8%","0.60","33.9%","48.7%","17.4%","-10.8","-1.4%","-105.3","29%","70%","40%",2002,NA,NA,NA,NA,NA,NA
"Boston Red Sox",".352","107",".302",".168","2.8%","14.9%","8.6%","27.7%","38.9%","26.9%","0.65","31.0%","50.4%","18.6%","3.5","0.7%","78.5","33%","74%","38%",2002,NA,NA,NA,NA,NA,NA
"Chicago Cubs",".332","93",".283",".167","3.2%","20.3%","9.4%","27.5%","39.8%","24.8%","0.69","29.0%","51.3%","19.6%","-6.2","-1.8%","-9.5","28%","75%","37%",2002,NA,NA,NA,NA,NA,NA
"Chicago White Sox",".350","107",".287",".181","3.5%","15.3%","8.9%","24.8%","37.1%","29.2%","0.62","31.4%","48.6%","20.0%","2.9","1.0%","86.3","34%","71%","40%",2002,NA,NA,NA,NA,NA,NA
"Cincinnati Reds",".334","88",".293",".155","2.7%","19.0%","9.3%","26.6%","39.2%","25.8%","0.68","28.1%","51.3%","20.6%","-3.3","-0.5%","-29.2","28%","69%","46%",2002,NA,NA,NA,NA,NA,NA
"Cleveland Indians",".328","98",".271",".163","3.2%","16.4%","8.9%","24.9%","40.5%","26.6%","0.70","30.8%","51.9%","17.3%","-0.2","-2.2%","-24.6","31%","58%","38%",2002,NA,NA,NA,NA,NA,NA
"Colorado Rockies",".341","85",".311",".149","2.5%","16.9%","8.1%","27.9%","41.8%","23.0%","0.75","25.5%","54.2%","20.3%","0.4","-0.2%","19.1","33%","66%","48%",2002,NA,NA,NA,NA,NA,NA
"Detroit Tigers",".302","85",".283",".132","2.1%","17.5%","6.1%","26.0%","38.2%","27.9%","0.64","28.6%","51.3%","20.1%","-14.1","-1.5%","-176.2","27%","60%","45%",2002,NA,NA,NA,NA,NA,NA
"Florida Marlins",".334","95",".301",".142","2.3%","18.0%","9.5%","26.6%","40.9%","24.1%","0.72","27.0%","52.4%","20.6%","-2.4","-0.3%","-14.9","28%","71%","39%",2002,NA,NA,NA,NA,NA,NA
"Houston Astros",".342","92",".300",".156","2.7%","17.9%","9.4%","28.2%","37.5%","26.6%","0.62","28.8%","51.1%","20.1%","-2.6","-2.5%","13.0","30%","72%","40%",2002,NA,NA,NA,NA,NA,NA
"Kansas City Royals",".325","82",".282",".143","2.3%","14.8%","8.4%","26.8%","38.8%","26.5%","0.66","27.2%","53.0%","19.8%","-8.8","-1.5%","-83.2","32%","68%","47%",2002,NA,NA,NA,NA,NA,NA
"Los Angeles Dodgers",".330","98",".291",".146","2.5%","15.3%","7.0%","25.8%","41.4%","25.0%","0.75","26.0%","54.5%","19.5%","0.7","0.8%","18.9","31%","72%","43%",2002,NA,NA,NA,NA,NA,NA
"Milwaukee Brewers",".321","86",".294",".137","2.3%","18.5%","8.2%","26.3%","42.1%","23.9%","0.77","24.8%","53.8%","21.3%","-16.4","-2.2%","-91.9","27%","65%","39%",2002,NA,NA,NA,NA,NA,NA
"Minnesota Twins",".339","103",".309",".165","2.7%","17.6%","7.6%","25.8%","41.8%","25.5%","0.74","27.2%","52.4%","20.4%","1.4","2.0%","-2.5","32%","56%","39%",2002,NA,NA,NA,NA,NA,NA
"Montreal Expos",".338","93",".298",".157","2.6%","17.7%","9.2%","26.5%","41.5%","23.6%","0.76","25.9%","53.5%","20.6%","2.5","0.9%","8.6","30%","65%","45%",2002,NA,NA,NA,NA,NA,NA
"New York Mets",".328","92",".289",".139","2.6%","17.0%","7.9%","24.6%","40.4%","25.9%","0.72","28.9%","51.8%","19.2%","-7.7","-3.8%","-13.8","29%","67%","41%",2002,NA,NA,NA,NA,NA,NA
"New York Yankees",".360","115",".310",".180","3.5%","18.4%","10.0%","27.7%","39.0%","27.9%","0.65","29.8%","50.0%","20.2%","10.0","7.8%","128.3","32%","72%","44%",2002,NA,NA,NA,NA,NA,NA
"Oakland Athletics",".343","106",".284",".171","3.3%","16.0%","9.7%","27.2%","37.9%","28.9%","0.62","29.0%","51.1%","19.8%","7.6","2.9%","37.5","30%","70%","41%",2002,NA,NA,NA,NA,NA,NA
"Philadelphia Phillies",".343","105",".294",".163","2.6%","17.3%","10.1%","28.1%","37.1%","26.4%","0.62","27.9%","51.8%","20.3%","4.2","0.1%","13.0","28%","71%","42%",2002,NA,NA,NA,NA,NA,NA
"Pittsburgh Pirates",".318","80",".281",".137","2.4%","18.3%","8.9%","25.8%","38.3%","27.4%","0.65","27.9%","52.3%","19.7%","-7.2","-3.3%","-69.3","28%","64%","42%",2002,NA,NA,NA,NA,NA,NA
"San Diego Padres",".320","95",".288",".129","2.2%","17.2%","8.9%","27.8%","39.4%","26.2%","0.67","27.0%","50.7%","22.3%","-3.7","-1.5%","-30.0","28%","62%","39%",2002,NA,NA,NA,NA,NA,NA
"Seattle Mariners",".345","108",".307",".144","2.4%","15.8%","9.9%","28.9%","39.4%","25.5%","0.67","25.3%","52.7%","22.0%","4.6","3.4%","52.9","31%","70%","39%",2002,NA,NA,NA,NA,NA,NA
"San Francisco Giants",".353","113",".289",".175","3.1%","15.3%","9.8%","27.0%","36.3%","29.0%","0.59","29.8%","51.6%","18.5%","6.1","7.3%","94.3","30%","78%","38%",2002,NA,NA,NA,NA,NA,NA
"St. Louis Cardinals",".343","102",".292",".157","2.8%","14.8%","8.7%","26.9%","38.9%","26.0%","0.68","29.7%","51.7%","18.7%","7.0","4.4%","77.9","32%","67%","44%",2002,NA,NA,NA,NA,NA,NA
"Tampa Bay Devil Rays",".317","88",".293",".137","2.2%","18.0%","7.4%","26.4%","40.6%","25.1%","0.71","28.2%","52.3%","19.5%","-9.4","-1.5%","-104.7","30%","69%","39%",2002,NA,NA,NA,NA,NA,NA
"Texas Rangers",".351","104",".292",".187","3.6%","16.7%","8.8%","27.4%","35.7%","29.9%","0.57","28.6%","51.9%","19.6%","1.8","-0.5%","43.5","32%","65%","41%",2002,NA,NA,NA,NA,NA,NA
"Toronto Blue Jays",".338","96",".295",".169","3.0%","18.3%","8.4%","27.7%","38.1%","28.8%","0.62","28.7%","50.2%","21.1%","0.7","-0.1%","22.4","34%","80%","38%",2002,NA,NA,NA,NA,NA,NA
"League Average",".336","97",".293",".155","2.7%","16.8%","8.7%","26.7%","39.1%","26.5%","0.67","28.4%","51.8%","19.9%","-1","1%","3","30%","68%","41%",2002,NA,NA,NA,NA,NA,NA
"",".336","97",".293",".155","2.7%","16.8%","8.7%","26.7%","39.1%","26.5%","0.67","28.4%","51.8%","19.9%","-27.8","15.4%","78.3","30%","68%","41%",2002,NA,NA,NA,NA,NA,NA
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%",2002,NA,NA,NA,NA,NA,NA
"Tm","rOBA","Rbat+","BAbip","ISO","HR%","SO%","BB%","LD%","GB%","FB%","GB/FB","Pull%","Cent%","Oppo%","WPA","cWPA","RE24","RS%","SB%","XBT%",2003,NA,NA,NA,NA,NA,NA
"Anaheim Angels",".329","95",".291",".144","2.5%","13.7%","7.8%","19.8%","41.1%","28.0%","0.73","30.1%","49.3%","20.6%","-4.1","-0.7%","-32.5","31%","68%","43%",2003,NA,NA,NA,NA,NA,NA
"Arizona Diamondbacks",".333","83",".295",".153","2.4%","16.1%","8.5%","20.5%","44.4%","24.8%","0.84","29.7%","50.2%","20.1%","-11.1","-9.1%","-61.3","29%","67%","37%",2003,NA,NA,NA,NA,NA,NA
"Atlanta Braves",".366","113",".302",".192","3.7%","14.6%","8.5%","17.2%","44.0%","28.9%","0.82","31.1%","50.2%","18.7%","13.6","6.3%","165.2","34%","76%","42%",2003,NA,NA,NA,NA,NA,NA
"Baltimore Orioles",".328","93",".293",".138","2.4%","14.5%","6.9%","18.4%","42.8%","28.6%","0.77","31.8%","48.3%","19.9%","-6.5","0.0%","-44.9","31%","71%","43%",2003,NA,NA,NA,NA,NA,NA
"Boston Red Sox",".372","118",".307",".202","3.6%","14.4%","9.5%","17.0%","38.6%","34.1%","0.64","31.7%","47.4%","21.0%","13.5","14.0%","160.0","33%","72%","39%",2003,NA,NA,NA,NA,NA,NA
"Chicago Cubs",".335","91",".297",".157","2.8%","18.7%","8.0%","19.1%","44.7%","26.4%","0.85","30.2%","50.0%","19.8%","-4.9","-1.1%","-28.7","30%","70%","36%",2003,NA,NA,NA,NA,NA,NA
"Chicago White Sox",".344","101",".279",".182","3.6%","14.9%","8.4%","18.3%","39.7%","30.0%","0.68","32.8%","48.2%","19.0%","-3.1","-2.8%","8.2","31%","73%","39%",2003,NA,NA,NA,NA,NA,NA
"Cincinnati Reds",".323","89",".289",".150","2.9%","21.4%","8.4%","21.7%","42.5%","24.8%","0.78","28.1%","50.5%","21.4%","-1.2","1.3%","-41.4","28%","70%","44%",2003,NA,NA,NA,NA,NA,NA
"Cleveland Indians",".322","93",".286",".148","2.6%","17.2%","7.5%","17.7%","44.0%","28.2%","0.82","30.3%","49.9%","19.7%","-10.2","-2.2%","-86.0","30%","59%","45%",2003,NA,NA,NA,NA,NA,NA
"Colorado Rockies",".355","94",".302",".179","3.2%","18.1%","9.9%","19.1%","44.5%","26.9%","0.84","28.9%","50.9%","20.2%","2.0","1.9%","67.2","34%","63%","47%",2003,NA,NA,NA,NA,NA,NA
"Detroit Tigers",".302","82",".272",".135","2.5%","18.1%","7.3%","16.6%","44.3%","27.9%","0.87","31.3%","48.5%","20.2%","-22.7","-2.7%","-188.9","26%","61%","41%",2003,NA,NA,NA,NA,NA,NA
"Florida Marlins",".338","97",".296",".155","2.5%","15.8%","8.3%","17.9%","45.2%","25.2%","0.89","28.4%","50.9%","20.7%","-2.1","0.9%","12.5","31%","67%","40%",2003,NA,NA,NA,NA,NA,NA
"Houston Astros",".346","97",".289",".169","3.0%","16.2%","8.8%","15.8%","45.3%","28.5%","0.86","31.4%","49.7%","18.9%","-2.8","-4.5%","46.0","32%","69%","40%",2003,NA,NA,NA,NA,NA,NA
"Kansas City Royals",".344","96",".301",".153","2.6%","14.8%","7.6%","18.9%","44.2%","27.3%","0.83","30.2%","49.2%","20.6%","3.4","1.6%","33.2","35%","74%","41%",2003,NA,NA,NA,NA,NA,NA
"Los Angeles Dodgers",".306","77",".275",".125","2.1%","16.3%","6.7%","18.2%","46.3%","23.9%","0.93","29.2%","50.7%","20.2%","-16.6","-11.4%","-159.3","26%","69%","38%",2003,NA,NA,NA,NA,NA,NA
"Milwaukee Brewers",".338","96",".294",".163","3.1%","19.5%","8.7%","19.4%","45.6%","25.1%","0.89","28.0%","50.7%","21.3%","-1.2","-1.1%","-37.1","28%","72%","36%",2003,NA,NA,NA,NA,NA,NA
"Minnesota Twins",".344","103",".312",".154","2.5%","16.2%","8.1%","15.7%","47.0%","28.1%","0.92","31.3%","48.7%","20.0%","2.8","2.0%","11.5","32%","68%","44%",2003,NA,NA,NA,NA,NA,NA
